"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"21","Macrobrachium rosenbergii","Giant river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,5.7,42.18,90.63,145.92,229.14,330.6,495.9,746.13,1061.34,1630.77,2213.88,3394.92,4272.15,6417.06,5751.3,7912.74,13713.06,14680.92,15095.31,17579.94,21405.78,18827.1,16623.48,18357.99,20425.95,35319.48,37977.39,46773.06,57860.13,74492.73,97821.69,95894.52,95485.83,109157.565,111639.1512,113649.4614,129285.3537,124907.6568,126345.6642,110077.8243,111341.1039,113985.7899,109638.8616,115503.3465,115444.9557,139631.6574,139751.1294,147023.2863,157097.7684,161875.0125,179077.5042,192354.1209,202904.5644
"22","Magallana gigas","Pacific cupped oyster","Bivalve",76073.13,93136.2,102884.85,129557.34,109908.57,120532.89,126328.02,140758.47,137528.13,138986.22,153525.3,143359.98,163749.27,202272.12,188180.82,179238.99,183200.16,189298.23,200634.51,182645.79,159735.06,155491.35,199233.03,212281.89,189747.54,238781.49,258548.07,260019.93,259220.25,258450.66,299517.39,291684.81,294330.18,313518.42,325321.86,354031.29,364393.98,381904.83,390490.68,357166.26,350112.45,335913.54,350392.44,368498.46,317425.02,329313.12,327025.26,328988.25,307143.93,314577.435,316023.03,315463.815,311351.991,343548.75,349474.797,351816.615,357246.84,373185.36,327448.5702,327614.9679,328709.8155,314944.3545,311816.7591,285393.1491,319593.4839,295279.7184,296401.7184,333440.958,330236.0364,330642.8685,310163.2932,320342.0976,328968.105,270630.5157
"23","Megalobrama amblycephala","Wuchang bream","Finfish",2638.4,4687.2,5439.2,7279.2,11116.8,12760.8,13554.4,22588.8,22151.2,23848.8,19983.2,13964.8,12593.6,14400,16007.2,20575.2,20988.8,20004,19428.8,21867.2,23277.6,24795.2,24841.6,26346.4,28417.6,30103.2,29623.2,30727.2,30485.6,32560,36080,40560,48320,57120,72480,95200,118080,139360,155920,115487.2,129292.8,122647.2,145212.8,175136.8,225300,268747.2,303318.4,324052,322444,334967.2,356732,375360.8,390328,362780.8,356990.4,381772.8,423333.6,461072.8,479698.4,492502.4,503340,512536,514259.2,531613.6,568254.4,578566.4,686683.2,666714.4,626827.2,610286.4,625389.6,611442.4,613874.4,590981.6
"24","Micropterus salmoides","Largemouth black bass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,0,65.6,42.4,57.6,79.2,70.4,52.8,53.6,68,45.6,67.2,30.4,28,7.2,5.6,419.2,294.4,188,231.2,221.6,167.2,142.4,130.4,297.6,87518.4,94757.6,112232.8,115668.8,126480,133731.6,137735.28,143587.256,157588.232,177260.512,247232.576,256286.032,257188.368,279412.096,366799.384,347354.728,383903.288,496719.96,562802.968,642994.12,713147.224
"25","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","Bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2893.74,5284.11,11754.99,20041.47,31952.01,35859.63,33103.59,42421.8,34538.73,22243.14,20603.49,30138.45,39201.66,43406.61,37733.88,55359.99,71356.65,77759.19,92816.43,91983.09,98004.66,96383.37,106182,123206.31,102208.59,116277.45,135497.31,130229.01,115691.46,110361.45,108770.25,120278.91,138739.38,131934.96,110061.57,104047.65,108561.15,126429.51,115368.63,131623.86,112687.56,61074.03,94610.1,86643.39,95978.94,128528.16,112996.11,73616.46,93609.99,82354.29,87368.61,95714.6733,102029.0751,96963.5715
"26","Mugil cephalus","Flathead grey mullet","Finfish",832,945.6,1091.2,1288.8,1400,1170.4,1050.4,1198.4,1476.8,1416.8,1783.2,2064,2011.2,2071.2,2657.6,1934.4,1845.6,2317.6,2322.4,2704,3076,2856.8,3008,2704.8,2626.4,2820,2911.2,3023.2,3703.2,3746.4,3760.8,3844.8,4211.2,4078.4,4224.8,4188.8,4021.6,4412.8,4366.4,4019.2,4268,4201.6,4132.8,5255.2,5677.6,7208,7208.8,7668,6870.4,6658.4,6083.2,6088,4783.2,6180.8,4608,4770.4,5449.6,5470.4,4351.28,5097.28,5812.976,5396.248,4874.544,5669.56,6257.208,5557.368,5066.896,5412.16,5133.52,4851.328,4703.808,9424.128,4777.912,4042.08
"27","Mylopharyngodon piceus","Black carp","Finfish",1588.8,2822.4,3276,4384,6695.2,7684.8,8163.2,13604,13340,14363.2,12034.4,8410.4,7584,8640,9640,12391.2,12640.8,12047.2,11700.8,13169.6,14018.4,14932.8,14960.8,15867.2,17114.4,18128.8,17840.8,18504.8,18360,19520,21680,24560,28960,34400,28960,38080,48880,83680,93680,31235.2,30281.6,28872,41829.6,53270.4,84005.6,83321.6,96278.4,103364,110341.6,122829.6,119189.6,132389.6,156019.2,186877.6,204840.8,224594.4,245608.8,265511.2,288265.6,305358.36,327603.232,353863.632,360721.6,382294.496,404572.336,432928.384,544013.608,547790.384,553228.56,544360.864,556432.896,574052.608,599139.072,640450.648
"28","Mytilus chilensis","Chilean mussel","Bivalve",5.1,5.1,5.1,5.1,5.1,5.1,10.2,10.2,10.2,10.2,15.3,15.3,15.3,20.4,25.5,25.5,30.6,35.7,45.9,51,59.16,68.85,80.07,93.33,108.63,102,146.88,102,102,127.5,153,296.82,708.39,157.59,497.25,501.33,819.06,719.1,1135.77,1172.49,1072.53,1439.22,1709.52,1479,1923.72,2853.45,3092.64,4403.85,6074.61,8263.53,11973.27,17670.48,21316.47,29482.59,39505.11,44745.36,64745.52,78250.83,95402.64,85145.52,112976.22,147177.33,124509.87,123338.91,121424.88,106440.57,153330.48,172811.46,186453.5316,193339.47,203539.47,216389.94,217812.84,198385.92
"29","Mytilus edulis","Blue mussel","Bivalve",24976.23,30378.15,32371.23,35740.29,37835.37,35190,32083.08,40402.71,47039.34,50565.99,56071.95,60069.33,63700.02,62901.36,74650.23,76356.18,68334.39,64827.63,82996.89,76694.82,67639.77,70278,84175.5,78183,74881.77,92985.24,70064.31,87598.62,92419.14,82078.38,81751.47,102442.68,113231.22,110058.51,95660.19,102508.98,94883.97,102391.68,88144.83,92188.62,98105.64,77069.67,88749.69,86749.47,94703.43,89260.2,111936.33,108118.47,122521.38,120463.785,108852.105,96154.89,95188.593,110942.85,118623.45,115043.25,92340.345,104393.43,97132.815,101782.74,101957.67,97275.1611,93915.429,88467.4407,86358.6978,80492.0913,73985.0319,67495.4961,66289.1727,72922.5999,65900.8383,72974.0691,71747.4375,67284.9681
"30","Mytilus galloprovincialis","Mediterranean mussel","Bivalve",1122,1224,459,459,510,663,622.2,897.6,494.7,1953.3,2468.4,3243.6,3350.7,4528.8,4437,4952.1,2514.3,6910.5,3707.7,4176.9,8136.54,14331,12689.31,13169.73,15518.28,18804.21,21597.48,22458.36,23518.65,25216.44,26951.46,28685.97,29566.23,31606.23,33731.91,37176.45,38451.96,38458.59,48720.81,51559.98,55797.57,59322.69,54405.78,58456.71,54332.85,57986.49,54706.68,55981.68,61838.52,65485.02,65287.65,72315.45,66431.07,75208.68,45792.9,55702.2,58249.14,53338.35,55309.1838,61209.2616,52633.5453,57784.7493,51570.7818,52840.2993,50597.1714,50816.502,52334.6904,50066.4297,49710.7251,48927.0846,43614.8532,46865.5065,45122.3316,44917.2606
