ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Giant river prawn,Africa,Senegal,Inland waters,Tonnes - live weight,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,21,25,20,11,10,6,2,2,3,3,7,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Africa,Uganda,Inland waters,Tonnes - live weight,,,,,,,,,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Africa,Zimbabwe,Inland waters,Tonnes - live weight,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,10,13,12,10,9,6,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Argentina,Inland waters,Tonnes - live weight,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22,20,12,13,7,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Brazil,Inland waters,Tonnes - live weight,150,150,150,150,100,100,100,100,100,100,100,100,100,100,230,373,370,363,450,450,450,450,227,279,446,486,341,700,700,650,550,600,700,600,500,400,400,400,370,338,305,273,241,209,176,144,112,80,47,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giant river prawn,Americas,Colombia,Inland waters,Tonnes - live weight,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,55,30,60,50,3,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Costa Rica,Inland waters,Tonnes - live weight,0.23,0.95,4,4,5,3,0.5,0.5,1,1,1,1,1,4,4,4,5,5,5,5,10,8,90,87,78,78,15,13,10,7,7,7,7,7,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Dominica,Inland waters,Tonnes - live weight,1,0.1,0,0,0,1,1,1,1,1,1,1,4,4,4,4,4,3,3,3,4,4,3,3,3,2,2,2,1,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Dominican Republic,Inland waters,Tonnes - live weight,35,35,35,34,34,25,20,16,10,10,16,110,110,110,110,110,110,97,78,78,62,82,16,87,27,90,86,961,739,164,43,50,50,100,120,100,100,50,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
Giant river prawn,Americas,Ecuador,Inland waters,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850,870,849,764,764,745,711,671,625,573,516,454,385,311,232,146,55,41,20,8,0,0,0,,,,,,,,,,,,,,,,,,,,
