"","Region","Year","Score"
"180","Asia",1986,53.0701947989339
"181","Asia",1985,52.96578074958
"182","Asia",1984,52.9916537486666
"183","Asia",1983,52.4795488220358
"184","Asia",1982,51.9794537310062
"185","Asia",1981,51.9935232288724
"186","Asia",1980,51.8737192674909
"187","Asia",1979,51.8008360779862
"188","Asia",1978,51.815255754638
"189","Asia",1977,51.4467227486386
"190","Asia",1976,51.4371078956386
"191","Asia",1975,51.4856070572553
"192","Asia",1974,51.8854983761627
"193","Asia",1973,51.6209711576834
"194","Asia",1972,50.9833288690569
"195","Asia",1971,51.5701358656582
"196","Asia",1970,51.6875743953312
"197","Asia",1969,50.2592856096762
"198","Asia",1968,50.2098853709665
"199","Asia",1967,50.5527818039172
"200","Asia",1966,50.1842385446164
"201","Asia",1965,50.5976139341767
"202","Asia",1964,50.004237997381
"203","Asia",1963,50.534225938303
"204","Asia",1962,51.5276535477955
"205","Asia",1961,51.7396596346994
"206","Asia",1960,50.6653613868128
"207","Asia",1959,50.5058741617673
"208","Asia",1958,50.0555909834449
"209","Asia",1957,51.2840707976185
"210","Asia",1956,50.8686584692241
"211","Asia",1955,50.7894267958697
"212","Asia",1954,50.1504274075297
"213","Asia",1953,49.854116019108
"214","Asia",1952,50.5506846230719
"215","Asia",1951,50.2205836974526
"216","Asia",1950,50.7621498594262
"217","Europe",2021,46.0685184583124
"218","Europe",2020,46.1928848487821
"219","Europe",2019,46.2001317391881
"220","Europe",2018,46.2409404094587
"221","Europe",2017,46.2450508419181
"222","Europe",2016,46.3202950047944
"223","Europe",2015,46.2228086142176
"224","Europe",2014,46.2518516467478
"225","Europe",2013,46.2689201320698
"226","Europe",2012,46.2958761936691
"227","Europe",2011,46.3656534453041
"228","Europe",2010,46.4138179477417
"229","Europe",2009,46.4846947161423
"230","Europe",2008,46.6157370425657
"231","Europe",2007,46.6022099588262
"232","Europe",2006,46.6732727504164
"233","Europe",2005,46.8071860126294
"234","Europe",2004,46.7722686112166
"235","Europe",2003,46.8391158570307
"236","Europe",2002,46.9789320386561
"237","Europe",2001,47.0062378421237
"238","Europe",2000,46.9546911194956
"239","Europe",1999,46.9888179666071
"240","Europe",1998,47.1639309586065
"241","Europe",1997,47.2436821861795
"242","Europe",1996,47.3996518555193
"243","Europe",1995,47.6858764134054
"244","Europe",1994,47.9807938712603
"245","Europe",1993,48.4049406171004
"246","Europe",1992,48.8460269676972
"247","Europe",1991,47.7681098321878
"248","Europe",1990,47.8944114821713
"249","Europe",1989,48.1410529721167
"250","Europe",1988,48.2627247594433
"251","Europe",1987,48.2880176603776
"252","Europe",1986,48.3617390310241
"253","Europe",1985,48.3986286372054
"254","Europe",1984,48.6639720247762
"255","Europe",1983,48.6830164222333
"256","Europe",1982,48.819372516636
"257","Europe",1981,48.8289250231885
"258","Europe",1980,48.773684679845
"259","Europe",1979,48.7290384621443
"260","Europe",1978,48.821012249671
"261","Europe",1977,48.9128925000935
"262","Europe",1976,49.1406574329953
"263","Europe",1975,48.9028833026313
"264","Europe",1974,49.2314049981033
"265","Europe",1973,49.1251857041653
"266","Europe",1972,49.1179183120084
"267","Europe",1971,49.4467444805528
"268","Europe",1970,49.2023930678017
"269","Europe",1969,49.1228369566608
"270","Europe",1968,48.8811490957618
"271","Europe",1967,48.98961027342
"272","Europe",1966,48.9201441554114
"273","Europe",1965,48.655114584242
"274","Europe",1964,48.6862114527357
"275","Europe",1963,48.5710162857359
"276","Europe",1962,48.4215332072776
"277","Europe",1961,48.6097612132863
"278","Europe",1960,48.375924223184
"279","Europe",1959,48.2521125162077
"280","Europe",1958,48.1180868940725
