"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"21","Macrobrachium rosenbergii","Giant river prawn","Crustacean",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,5.2,38.48,82.68,133.12,209.04,301.6,452.4,680.68,968.24,1487.72,2019.68,3097.12,3897.4,5854.16,5246.8,7218.64,12510.16,13393.12,13771.16,16037.84,19528.08,17175.6,15165.28,16747.64,18634.2,32221.28,34646.04,42670.16,52784.68,67958.28,89240.84,87482.72,87109.88,99582.34,101846.2432,103680.2104,117944.5332,113950.8448,115262.7112,100421.8748,101574.3404,103987.0364,100021.4176,105371.474,105318.2052,127383.2664,127492.2584,134126.5068,143317.2624,147675.45,163368.9512,175480.9524,185105.9184
"22","Magallana gigas","Pacific cupped oyster","Bivalve",62648.46,76700.4,84728.7,106694.28,90512.94,99262.38,104034.84,115918.74,113258.46,114459.24,126432.6,118061.16,134852.34,166577.04,154972.44,147608.58,150870.72,155892.66,165228.42,150414.18,131546.52,128051.7,164074.26,174820.38,156262.68,196643.58,212921.94,214134.06,213475.5,212841.72,246661.38,240211.02,242389.56,258191.64,267912.12,291555.18,300089.16,314509.86,321580.56,294136.92,288327.9,276634.68,288558.48,303469.32,261408.84,271199.04,269314.92,270931.5,252942.06,259063.77,260254.26,259793.73,256407.522,282922.5,287802.774,289731.33,294203.28,307329.12,269663.5284,269800.5618,270702.201,259365.939,256790.2722,235029.6522,263194.6338,243171.5328,244095.5328,274598.436,271959.0888,272294.127,255428.5944,263811.1392,270914.91,222872.1894
"23","Megalobrama amblycephala","Wuchang bream","Finfish",1978.8,3515.4,4079.4,5459.4,8337.6,9570.6,10165.8,16941.6,16613.4,17886.6,14987.4,10473.6,9445.2,10800,12005.4,15431.4,15741.6,15003,14571.6,16400.4,17458.2,18596.4,18631.2,19759.8,21313.2,22577.4,22217.4,23045.4,22864.2,24420,27060,30420,36240,42840,54360,71400,88560,104520,116940,86615.4,96969.6,91985.4,108909.6,131352.6,168975,201560.4,227488.8,243039,241833,251225.4,267549,281520.6,292746,272085.6,267742.8,286329.6,317500.2,345804.6,359773.8,369376.8,377505,384402,385694.4,398710.2,426190.8,433924.8,515012.4,500035.8,470120.4,457714.8,469042.2,458581.8,460405.8,443236.2
"24","Micropterus salmoides","Largemouth black bass","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,0,49.2,31.8,43.2,59.4,52.8,39.6,40.2,51,34.2,50.4,22.8,21,5.4,4.2,314.4,220.8,141,173.4,166.2,125.4,106.8,97.8,223.2,65638.8,71068.2,84174.6,86751.6,94860,100298.7,103301.46,107690.442,118191.174,132945.384,185424.432,192214.524,192891.276,209559.072,275099.538,260516.046,287927.466,372539.97,422102.226,482245.59,534860.418
"25","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","Bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383.08,4351.62,9680.58,16504.74,26313.42,29531.46,27261.78,34935.6,28443.66,18317.88,16967.58,24819.9,32283.72,35746.62,31074.96,45590.58,58764.3,64036.98,76437.06,75750.78,80709.72,79374.54,87444,101464.02,84171.78,95757.9,111586.02,107247.42,95275.32,90885.9,89575.5,99053.22,114255.96,108652.32,90638.94,85686.3,89403.3,104118.42,95009.46,108396.12,92801.52,50296.26,77914.2,71353.38,79041.48,105846.72,93055.62,60625.32,77090.58,67821.18,71950.62,78823.8486,84023.9442,79852.353
"26","Mugil cephalus","Flathead grey mullet","Finfish",624,709.2,818.4,966.6,1050,877.8,787.8,898.8,1107.6,1062.6,1337.4,1548,1508.4,1553.4,1993.2,1450.8,1384.2,1738.2,1741.8,2028,2307,2142.6,2256,2028.6,1969.8,2115,2183.4,2267.4,2777.4,2809.8,2820.6,2883.6,3158.4,3058.8,3168.6,3141.6,3016.2,3309.6,3274.8,3014.4,3201,3151.2,3099.6,3941.4,4258.2,5406,5406.6,5751,5152.8,4993.8,4562.4,4566,3587.4,4635.6,3456,3577.8,4087.2,4102.8,3263.46,3822.96,4359.732,4047.186,3655.908,4252.17,4692.906,4168.026,3800.172,4059.12,3850.14,3638.496,3527.856,7068.096,3583.434,3031.56
"27","Mylopharyngodon piceus","Black carp","Finfish",1012.86,1799.28,2088.45,2794.8,4268.19,4899.06,5204.04,8672.55,8504.25,9156.54,7671.93,5361.63,4834.8,5508,6145.5,7899.39,8058.51,7680.09,7459.26,8395.62,8936.73,9519.66,9537.51,10115.34,10910.43,11557.11,11373.51,11796.81,11704.5,12444,13821,15657,18462,21930,18462,24276,31161,53346,59721,19912.44,19304.52,18405.9,26666.37,33959.88,53553.57,53117.52,61377.48,65894.55,70342.77,78303.87,75983.37,84398.37,99462.24,119134.47,130586.01,143178.93,156575.61,169263.39,183769.32,194665.9545,208847.0604,225588.0654,229960.02,243712.7412,257914.8642,275991.8448,346808.6751,349216.3698,352683.207,347030.0508,354725.9712,365958.5376,381951.1584,408287.2881
"28","Mytilus chilensis","Chilean mussel","Bivalve",4.2,4.2,4.2,4.2,4.2,4.2,8.4,8.4,8.4,8.4,12.6,12.6,12.6,16.8,21,21,25.2,29.4,37.8,42,48.72,56.7,65.94,76.86,89.46,84,120.96,84,84,105,126,244.44,583.38,129.78,409.5,412.86,674.52,592.2,935.34,965.58,883.26,1185.24,1407.84,1218,1584.24,2349.9,2546.88,3626.7,5002.62,6805.26,9860.34,14552.16,17554.74,24279.78,32533.62,36849.12,53319.84,64441.86,78566.88,70119.84,93039.24,121204.86,102537.54,101573.22,99996.96,87656.94,126272.16,142315.32,153549.9672,159220.74,167620.74,178203.48,179375.28,163376.64
"29","Mytilus edulis","Blue mussel","Bivalve",20568.66,25017.3,26658.66,29433.18,31158.54,28980,26421.36,33272.82,38738.28,41642.58,46176.9,49468.86,52458.84,51801.12,61476.66,62881.56,56275.38,53387.46,68350.38,63160.44,55703.34,57876,69321,64386,61667.34,76576.08,57700.02,72140.04,76109.88,67593.96,67324.74,84364.56,93249.24,90636.42,78778.98,84419.16,78139.74,84322.56,72589.86,75920.04,80792.88,63469.14,73087.98,71440.74,77991.06,73508.4,92182.86,89038.74,100899.96,99205.47,89642.91,79186.38,78390.606,91364.7,97689.9,94741.5,76044.99,85971.06,79991.73,83821.08,83965.14,80108.9562,77342.118,72855.5394,71118.9276,66287.6046,60928.8498,55584.5262,54591.0834,60053.9058,54271.2786,60096.2922,59086.125,55411.1502
"30","Mytilus galloprovincialis","Mediterranean mussel","Bivalve",924,1008,378,378,420,546,512.4,739.2,407.4,1608.6,2032.8,2671.2,2759.4,3729.6,3654,4078.2,2070.6,5691,3053.4,3439.8,6700.68,11802,10450.02,10845.66,12779.76,15485.82,17786.16,18495.12,19368.3,20766.48,22195.32,23623.74,24348.66,26028.66,27779.22,30615.9,31666.32,31671.78,40123.02,42461.16,45950.94,48853.98,44804.76,48140.82,44744.7,47753.58,45052.56,46102.56,50925.84,53928.84,53766.3,59553.9,54707.94,61936.56,37711.8,45872.4,47969.88,43925.7,45548.7396,50407.6272,43345.2726,47587.4406,42470.0556,43515.5406,41668.2588,41848.884,43099.1568,41231.1774,40938.2442,40292.8932,35918.1144,38595.123,37159.5672,36990.6852
