"","Region","Year","Score"
"146","Asia",2020,54.3132432510943
"147","Asia",2019,53.96384378916
"148","Asia",2018,53.8211383063042
"149","Asia",2017,54.6502818183499
"150","Asia",2016,54.4677918183954
"151","Asia",2015,54.448507059638
"152","Asia",2014,54.4009636250974
"153","Asia",2013,54.4121136008071
"154","Asia",2012,54.695368712909
"155","Asia",2011,54.7858424354997
"156","Asia",2010,54.5391931593312
"157","Asia",2009,54.4586563941145
"158","Asia",2008,54.648467369418
"159","Asia",2007,54.7862005632206
"160","Asia",2006,55.0707639981099
"161","Asia",2005,54.7755920784832
"162","Asia",2004,54.5457122846692
"163","Asia",2003,53.1094877858866
"164","Asia",2002,53.3710272026121
"165","Asia",2001,52.7505437905541
"166","Asia",2000,53.6530141625675
"167","Asia",1999,54.2160969780478
"168","Asia",1998,54.6194185574309
"169","Asia",1997,55.0579638573694
"170","Asia",1996,55.0771607275691
"171","Asia",1995,55.1543134006449
"172","Asia",1994,55.4589911762615
"173","Asia",1993,55.7671673292841
"174","Asia",1992,56.0491581448134
"175","Asia",1991,55.8152398132296
"176","Asia",1990,56.0753864936631
"177","Asia",1989,56.9410573218963
"178","Asia",1988,57.1071875671238
"179","Asia",1987,56.9596476071255
"180","Asia",1986,57.5664534970806
"181","Asia",1985,57.452343505847
"182","Asia",1984,57.569742659559
"183","Asia",1983,57.0182320878758
"184","Asia",1982,56.9102308372966
"185","Asia",1981,57.1434542922381
"186","Asia",1980,57.3837532595135
"187","Asia",1979,57.1238791998838
"188","Asia",1978,57.2646234829531
"189","Asia",1977,57.1994353552368
"190","Asia",1976,57.0090433029235
"191","Asia",1975,56.657326589816
"192","Asia",1974,57.5816527757436
"193","Asia",1973,56.8012103393356
"194","Asia",1972,55.7721218226304
"195","Asia",1971,55.9057526021844
"196","Asia",1970,55.6999138537205
"197","Asia",1969,54.580211245129
"198","Asia",1968,54.8969890158107
"199","Asia",1967,54.8174270053864
"200","Asia",1966,54.2292550853576
"201","Asia",1965,54.0034274800981
"202","Asia",1964,53.788909582947
"203","Asia",1963,54.271982589831
"204","Asia",1962,54.1635399912182
"205","Asia",1961,53.8934109210099
"206","Asia",1960,53.2341797215719
"207","Asia",1959,52.5392389472001
"208","Asia",1958,52.520714237571
"209","Asia",1957,53.4497315171115
"210","Asia",1956,52.2573912526451
"211","Asia",1955,51.9721146996705
"212","Asia",1954,52.1254190653769
"213","Asia",1953,52.0602398189304
"214","Asia",1952,52.3845882427221
"215","Asia",1951,51.711400558571
"216","Asia",1950,51.3417177531402
"217","Europe",2021,40.366523046899
"218","Europe",2020,40.5914657473092
"219","Europe",2019,40.6660842626485
"220","Europe",2018,40.9558372242174
"221","Europe",2017,41.0259465011473
"222","Europe",2016,41.3095455217724
"223","Europe",2015,40.8550641228087
"224","Europe",2014,40.9500515295272
"225","Europe",2013,41.1565052095182
"226","Europe",2012,40.9917170805757
"227","Europe",2011,41.8136445496627
"228","Europe",2010,42.2689691195231
"229","Europe",2009,42.9713943492093
"230","Europe",2008,43.4525124444429
"231","Europe",2007,43.8969722175829
"232","Europe",2006,44.3186058235529
"233","Europe",2005,44.9101904284017
"234","Europe",2004,44.2126542396832
"235","Europe",2003,45.1334947534904
"236","Europe",2002,45.1562467122139
"237","Europe",2001,45.6533048990613
"238","Europe",2000,45.941453797814
"239","Europe",1999,46.2065250389796
"240","Europe",1998,46.9219327833285
"241","Europe",1997,46.8350893269988
"242","Europe",1996,47.3427086291498
"243","Europe",1995,47.8089237463917
"244","Europe",1994,47.9295232056721
"245","Europe",1993,48.1448329659613
"246","Europe",1992,48.1298023376081
"247","Europe",1991,49.2498094713637
"248","Europe",1990,49.6713335291161
"249","Europe",1989,49.7819074706083
"250","Europe",1988,50.5014956217915
"251","Europe",1987,51.3083944120085
"252","Europe",1986,51.3848622786902
"253","Europe",1985,51.9946241949331
"254","Europe",1984,51.8171427759139
"255","Europe",1983,52.1204362625705
"256","Europe",1982,52.2107439994431
"257","Europe",1981,52.3269082857658
"258","Europe",1980,52.2962741232761
"259","Europe",1979,52.4433496120062
"260","Europe",1978,52.432203356003
"261","Europe",1977,52.0808332163168
"262","Europe",1976,51.601922020883
"263","Europe",1975,52.3167742716176
"264","Europe",1974,51.3687541154839
"265","Europe",1973,51.7638516955735
"266","Europe",1972,51.9433741214871
"267","Europe",1971,52.0341597441106
"268","Europe",1970,51.6757084287596
"269","Europe",1969,51.6594603687032
"270","Europe",1968,52.2284929266961
"271","Europe",1967,51.9054938804938
"272","Europe",1966,51.8474764320172
"273","Europe",1965,52.8732014232962
"274","Europe",1964,52.8162291502057
"275","Europe",1963,52.7507006373118
"276","Europe",1962,52.9194058106426
"277","Europe",1961,52.514256118698
"278","Europe",1960,52.735127413751
"279","Europe",1959,52.7194030895085
"280","Europe",1958,52.7797506288861
