year,score,group,score_type,dataset
2016,55.13691398947424,Algae,f,f_1
2017,55.19765717604557,Algae,f,f_1
2018,55.350047938708094,Algae,f,f_1
2019,55.21678933967219,Algae,f,f_1
2020,55.153043874553696,Algae,f,f_1
2021,55.073819146863755,Algae,f,f_1
2022,54.89477628313563,Algae,f,f_1
2023,55.01787907443135,Algae,f,f_1
1950,45.52898225208191,Crustacean,f,f_1
1951,45.49877647955414,Crustacean,f,f_1
1952,45.2751142253125,Crustacean,f,f_1
1953,45.384192997333336,Crustacean,f,f_1
1954,45.307478256571436,Crustacean,f,f_1
1955,45.384192997333336,Crustacean,f,f_1
1956,44.868218300903955,Crustacean,f,f_1
1957,44.871386189811325,Crustacean,f,f_1
1958,44.67202634220615,Crustacean,f,f_1
1959,44.64371544851574,Crustacean,f,f_1
1960,44.49169003022355,Crustacean,f,f_1
1961,44.16421796167147,Crustacean,f,f_1
1962,43.91292149859155,Crustacean,f,f_1
1963,43.606429241649614,Crustacean,f,f_1
1964,43.08767323017794,Crustacean,f,f_1
1965,42.516198688498925,Crustacean,f,f_1
1966,42.36191268289608,Crustacean,f,f_1
1967,41.901765410372455,Crustacean,f,f_1
1968,41.60756647979032,Crustacean,f,f_1
1969,41.84054767136075,Crustacean,f,f_1
1970,41.198305311028925,Crustacean,f,f_1
1971,40.91829800862233,Crustacean,f,f_1
1972,41.14770114446239,Crustacean,f,f_1
1973,41.220327639515645,Crustacean,f,f_1
1974,41.95930403515605,Crustacean,f,f_1
1975,41.87833232680856,Crustacean,f,f_1
1976,41.864209949293524,Crustacean,f,f_1
1977,41.57494470500896,Crustacean,f,f_1
1978,42.27782558510626,Crustacean,f,f_1
1979,41.65220657773111,Crustacean,f,f_1
1980,42.42063672064701,Crustacean,f,f_1
1981,42.059253610584555,Crustacean,f,f_1
1982,42.451854911690205,Crustacean,f,f_1
1983,43.15249887527234,Crustacean,f,f_1
1984,43.455285911233275,Crustacean,f,f_1
1985,43.11117884500624,Crustacean,f,f_1
1986,43.02196703739337,Crustacean,f,f_1
1987,43.73088477631609,Crustacean,f,f_1
1988,44.29025887238444,Crustacean,f,f_1
1989,44.145444039647444,Crustacean,f,f_1
1990,44.19619870877395,Crustacean,f,f_1
1991,44.5155350935458,Crustacean,f,f_1
1992,44.551945476232696,Crustacean,f,f_1
1993,44.257089350721714,Crustacean,f,f_1
1994,44.307734887870716,Crustacean,f,f_1
1995,44.38040146258982,Crustacean,f,f_1
1996,44.511646268734154,Crustacean,f,f_1
1997,44.77233267114825,Crustacean,f,f_1
1998,44.906785403039365,Crustacean,f,f_1
1999,44.72200341133981,Crustacean,f,f_1
2000,45.13406423704693,Crustacean,f,f_1
2001,45.460919998684666,Crustacean,f,f_1
2002,45.99757515459472,Crustacean,f,f_1
2003,47.19148556729743,Crustacean,f,f_1
2004,47.555465161835606,Crustacean,f,f_1
2005,47.81154989190354,Crustacean,f,f_1
2006,47.99194789521363,Crustacean,f,f_1
2007,47.561388477496706,Crustacean,f,f_1
2008,47.10574666271984,Crustacean,f,f_1
2009,46.84292668657905,Crustacean,f,f_1
2010,46.968965531381485,Crustacean,f,f_1
2011,47.326645134978754,Crustacean,f,f_1
2012,47.30762661842306,Crustacean,f,f_1
2013,47.1673738951294,Crustacean,f,f_1
2014,47.26896445988083,Crustacean,f,f_1
2015,47.22408952715572,Crustacean,f,f_1
2016,47.06699221375702,Crustacean,f,f_1
2017,46.85075778535523,Crustacean,f,f_1
2018,46.194935929733155,Crustacean,f,f_1
2019,45.815659396771096,Crustacean,f,f_1
2020,45.64881102046531,Crustacean,f,f_1
2021,45.602145871779115,Crustacean,f,f_1
2022,45.55979961451723,Crustacean,f,f_1
2023,45.52805479023217,Crustacean,f,f_1
1950,50.54845066843821,Bivalve,f,f_1
1951,50.522650177434855,Bivalve,f,f_1
1952,50.533288080567914,Bivalve,f,f_1
1953,50.512172102249465,Bivalve,f,f_1
1954,50.52453891675783,Bivalve,f,f_1
1955,50.52933524987906,Bivalve,f,f_1
1956,50.55669814731319,Bivalve,f,f_1
1957,50.5659534925465,Bivalve,f,f_1
1958,50.52095185415986,Bivalve,f,f_1
1959,50.531108674713266,Bivalve,f,f_1
1960,50.55525148686595,Bivalve,f,f_1
1961,50.532625068114,Bivalve,f,f_1
1962,50.552551055550325,Bivalve,f,f_1
1963,50.6222323424042,Bivalve,f,f_1
1964,50.7319469191273,Bivalve,f,f_1
1965,50.71161773575949,Bivalve,f,f_1
1966,50.8154591446216,Bivalve,f,f_1
1967,50.85744394319926,Bivalve,f,f_1
1968,50.835882878452566,Bivalve,f,f_1
1969,50.90145649508507,Bivalve,f,f_1
1970,51.043604276051454,Bivalve,f,f_1
1971,51.135486085909044,Bivalve,f,f_1
1972,51.10775044544622,Bivalve,f,f_1
1973,51.302025875450994,Bivalve,f,f_1
1974,51.630494437364575,Bivalve,f,f_1
1975,51.44355928353253,Bivalve,f,f_1
1976,51.54525517739903,Bivalve,f,f_1
1977,51.791075728433064,Bivalve,f,f_1
1978,51.697893154330465,Bivalve,f,f_1
1979,51.667658384831086,Bivalve,f,f_1
1980,51.73392150920124,Bivalve,f,f_1
1981,51.69803968173809,Bivalve,f,f_1
1982,51.73953130239737,Bivalve,f,f_1
1983,51.79753234780528,Bivalve,f,f_1
1984,51.87427045679934,Bivalve,f,f_1
1985,52.030966992865395,Bivalve,f,f_1
1986,52.33374966323455,Bivalve,f,f_1
1987,52.486088016817426,Bivalve,f,f_1
1988,52.64964702132856,Bivalve,f,f_1
1989,52.92165787871098,Bivalve,f,f_1
1990,53.16085100850783,Bivalve,f,f_1
1991,53.43780358742114,Bivalve,f,f_1
1992,53.90430544290528,Bivalve,f,f_1
1993,54.35633780826501,Bivalve,f,f_1
1994,54.713234940114674,Bivalve,f,f_1
1995,54.65351021196811,Bivalve,f,f_1
1996,54.67367722897956,Bivalve,f,f_1
1997,54.74360021740496,Bivalve,f,f_1
1998,54.810438136683786,Bivalve,f,f_1
1999,55.045778075745474,Bivalve,f,f_1
2000,54.945997353363744,Bivalve,f,f_1
2001,55.22911850551264,Bivalve,f,f_1
2002,55.38544471523475,Bivalve,f,f_1
2003,55.343246154687975,Bivalve,f,f_1
2004,55.40990013369377,Bivalve,f,f_1
2005,55.47014152636646,Bivalve,f,f_1
2006,55.57753039156741,Bivalve,f,f_1
2007,55.63529451949422,Bivalve,f,f_1
2008,55.72750157800193,Bivalve,f,f_1
2009,55.78129225339205,Bivalve,f,f_1
2010,55.847407412519665,Bivalve,f,f_1
2011,55.880683672955904,Bivalve,f,f_1
2012,55.95105484413781,Bivalve,f,f_1
2013,56.014134811841586,Bivalve,f,f_1
2014,55.985965388587026,Bivalve,f,f_1
2015,56.0846710913821,Bivalve,f,f_1
2016,56.12735990598139,Bivalve,f,f_1
2017,56.061215924424545,Bivalve,f,f_1
2018,56.04936643799892,Bivalve,f,f_1
2019,55.969042361111974,Bivalve,f,f_1
2020,56.10445871542594,Bivalve,f,f_1
2021,56.10585507305086,Bivalve,f,f_1
2022,56.131935973698816,Bivalve,f,f_1
2023,54.49878581218602,Bivalve,f,f_1
1950,51.96396316072955,All,f,f_2
1951,52.006266454662104,All,f,f_2
1952,52.11606217783082,All,f,f_2
1953,52.09859554293001,All,f,f_2
1954,52.24880585404334,All,f,f_2
1955,52.325978699435765,All,f,f_2
1956,52.345042432012846,All,f,f_2
1957,52.52699752673216,All,f,f_2
1958,52.58754260834614,All,f,f_2
1959,52.80352246615724,All,f,f_2
1960,52.94452564187972,All,f,f_2
1961,53.020374116874265,All,f,f_2
1962,52.96435359141385,All,f,f_2
1963,52.90665205786468,All,f,f_2
1964,53.021774098437604,All,f,f_2
1965,53.02946441718973,All,f,f_2
1966,53.13592077555059,All,f,f_2
1967,53.08492416103581,All,f,f_2
1968,53.00023220253947,All,f,f_2
1969,53.16205127623651,All,f,f_2
1970,53.18254175455297,All,f,f_2
1971,53.30852384304777,All,f,f_2
1972,53.209207183035325,All,f,f_2
1973,53.130995984829006,All,f,f_2
1974,53.185077448964115,All,f,f_2
1975,53.13018518218778,All,f,f_2
1976,53.10622764015911,All,f,f_2
1977,53.348925209939424,All,f,f_2
1978,53.46296517470905,All,f,f_2
1979,53.37505047640866,All,f,f_2
1980,53.39345990817219,All,f,f_2
1981,53.24584157827629,All,f,f_2
1982,53.20848067095475,All,f,f_2
1983,53.25594720310662,All,f,f_2
1984,53.202804230758055,All,f,f_2
1985,53.131115195055834,All,f,f_2
1986,52.938401216675736,All,f,f_2
1987,52.74543006009165,All,f,f_2
1988,52.80220208788931,All,f,f_2
1989,52.860494990270816,All,f,f_2
1990,52.66399796661275,All,f,f_2
1991,52.79428542841729,All,f,f_2
1992,52.917698388910395,All,f,f_2
1993,52.99562726346479,All,f,f_2
1994,52.91525481288145,All,f,f_2
1995,52.77485064036978,All,f,f_2
1996,52.76898743959189,All,f,f_2
1997,52.66038958930726,All,f,f_2
1998,52.610385347572816,All,f,f_2
1999,52.60075599625303,All,f,f_2
2000,52.39689860895237,All,f,f_2
2001,52.393950617263584,All,f,f_2
2002,52.436714319316906,All,f,f_2
2003,52.295209967301766,All,f,f_2
2004,52.30771041150404,All,f,f_2
2005,52.262168911408544,All,f,f_2
2006,52.24002697654873,All,f,f_2
2007,52.10930906100831,All,f,f_2
2008,51.95267639576587,All,f,f_2
2009,51.946325033715965,All,f,f_2
2010,51.95180896909692,All,f,f_2
2011,51.890237479802494,All,f,f_2
2012,51.844665539553034,All,f,f_2
2013,51.871007510638094,All,f,f_2
2014,51.9198572808711,All,f,f_2
2015,51.933548057232734,All,f,f_2
2016,51.89937033090244,All,f,f_2
2017,51.83948689352038,All,f,f_2
2018,51.781901332345385,All,f,f_2
2019,51.68392377730589,All,f,f_2
2020,51.6591257272405,All,f,f_2
2021,51.594844864268815,All,f,f_2
2022,51.489639540047726,All,f,f_2
2023,51.39416347637869,All,f,f_2
1950,52.69559675082972,Finfish,f,f_2
1951,52.81378908681336,Finfish,f,f_2
1952,52.87606838326307,Finfish,f,f_2
1953,52.932141516251754,Finfish,f,f_2
1954,52.86790979288317,Finfish,f,f_2
1955,52.900316995669904,Finfish,f,f_2
1956,52.862202495900306,Finfish,f,f_2
1957,52.9115480493473,Finfish,f,f_2
1958,53.05116032977615,Finfish,f,f_2
1959,52.99274908367683,Finfish,f,f_2
1960,52.93086903834981,Finfish,f,f_2
1961,52.892582352006855,Finfish,f,f_2
1962,52.87709696674773,Finfish,f,f_2
1963,52.8258126613902,Finfish,f,f_2
1964,52.788343379183374,Finfish,f,f_2
1965,52.739843033783856,Finfish,f,f_2
1966,52.725083238862844,Finfish,f,f_2
1967,52.626302075234136,Finfish,f,f_2
1968,52.633233670896686,Finfish,f,f_2
1969,52.62555452720708,Finfish,f,f_2
1970,52.601323538910435,Finfish,f,f_2
1971,52.52856825475346,Finfish,f,f_2
1972,52.3857315213561,Finfish,f,f_2
1973,52.35651080556324,Finfish,f,f_2
1974,52.346544494630876,Finfish,f,f_2
1975,52.32500364373346,Finfish,f,f_2
1976,52.299000631232815,Finfish,f,f_2
1977,52.27596653983208,Finfish,f,f_2
1978,52.2609397148407,Finfish,f,f_2
1979,52.24173204920694,Finfish,f,f_2
1980,52.31137330430351,Finfish,f,f_2
1981,52.42148659347976,Finfish,f,f_2
1982,52.49035263357731,Finfish,f,f_2
1983,52.51683197151508,Finfish,f,f_2
1984,52.399709858977914,Finfish,f,f_2
1985,52.37634590827819,Finfish,f,f_2
1986,52.3085700469843,Finfish,f,f_2
1987,52.171925536732836,Finfish,f,f_2
1988,52.12872607504735,Finfish,f,f_2
1989,52.11072765115042,Finfish,f,f_2
1990,52.037022147088805,Finfish,f,f_2
1991,52.01030233678773,Finfish,f,f_2
1992,51.926005396966694,Finfish,f,f_2
1993,51.89386401030304,Finfish,f,f_2
1994,51.815860133594235,Finfish,f,f_2
1995,51.75846166506119,Finfish,f,f_2
1996,51.735436329512,Finfish,f,f_2
1997,51.64412943724112,Finfish,f,f_2
1998,51.572404805800474,Finfish,f,f_2
1999,51.48095508240769,Finfish,f,f_2
2000,51.36776263626651,Finfish,f,f_2
2001,51.36666981401166,Finfish,f,f_2
2002,51.33789608501073,Finfish,f,f_2
2003,51.32043461373163,Finfish,f,f_2
2004,51.3944373419086,Finfish,f,f_2
2005,51.32491954675608,Finfish,f,f_2
2006,51.259789444250906,Finfish,f,f_2
2007,51.07212265858323,Finfish,f,f_2
2008,50.94080378549759,Finfish,f,f_2
2009,50.96333080506866,Finfish,f,f_2
2010,50.91009494629679,Finfish,f,f_2
2011,50.870454550156005,Finfish,f,f_2
2012,50.789492058088065,Finfish,f,f_2
2013,50.858875774601714,Finfish,f,f_2
2014,50.84566295717168,Finfish,f,f_2
2015,50.87568952294325,Finfish,f,f_2
2016,50.817324270907434,Finfish,f,f_2
2017,50.75413026335979,Finfish,f,f_2
2018,50.79610170552233,Finfish,f,f_2
