ASFIS species Name En,Continent Name En,Country Name En,Inland/Marine areas Name En,Unit Name,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960,1959,1958,1957,1956,1955,1954,1953,1952,1951,1950
Barramundi(=Giant seaperch),Asia,Malaysia,Marine areas,Tonnes - live weight,34186.73,23033.826,17263.61,21241.1,30236.59,15025.912,29132.37,30439.93,16981.4,20088.74,17607,20022,14229,11705,5680,5519,4191,4001,4211,4230,4061,3428,5210,5246,3487,2417,2206,2691,3865,2785,2030,1954,1538,1267,1067,838,337,80,227,235,183,140,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi(=Giant seaperch),Asia,Myanmar,Marine areas,Tonnes - live weight,1536.22,1370.78,76.455,1397.854,482.22,473.348,461.04,95,85,80,80,80,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Qatar,Marine areas,Tonnes - live weight,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Saudi Arabia,Marine areas,Tonnes - live weight,14000,18303.207,3859.17,5500,5500,5585,3888,2525,20,20,18,0,4,5,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Singapore,Marine areas,Tonnes - live weight,839.784,830.909,1247.819,844.434,850.461,731.288,956.327,476.6,524.478,210.88,392.33,508.82,275,169,164,156,180,77,179,157,173,305,241,235,243,266,285,204,227,393,239,307,201,235,219,203,169,185,214,96,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Sri Lanka,Marine areas,Tonnes - live weight,465.614,178.5,168.01,339.83,0.6,117.5,36.5,17.7,14.9,5.51,8.85,10,9.309,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi(=Giant seaperch),Asia,Taiwan Province of China,Marine areas,Tonnes - live weight,4434.626,4366.306,5220.02,3998.681,3405.652,2178.818,3332,4133.03,6830.09,9327,11465.3,9038,2592,2693,2357,2437,3566,1504,1680,1798,1577,1078,1286,1649,2091,2218,1635,1804,1048,1374,790,1438,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Asia,Thailand,Marine areas,Tonnes - live weight,47636,45415,47203,39278,20454,17610,17250,16502,16761,19317,16157,13434,14818,12814,12366,15524,14219,13588,12229,11032,8004,7752,6056,6812,4090,4087,3884,3929,2753,2596,1650,1005,1290,1034,1183,823,584,548,1084,181,226,176,207,175,147,124,104,88,74,62,53,44,44,31,26,22,15,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Barramundi(=Giant seaperch),Asia,United Arab Emirates,Marine areas,Tonnes - live weight,22,60,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Oceania,Australia,Marine areas,Tonnes - live weight,7814.738,3427.408,3364.671,5668.433,4113.95,3542.113,3771.6,3439.83,3559.55,4473.3,4352.47,3627.974,2966,3361.8,2632,2249,1775,1517,1750,1150,898,822,775,683,487,596,258,312,219,100,47,15,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Oceania,French Polynesia,Marine areas,Tonnes - live weight,,,,,0,0,0,0,0,0,0,0,0,0,1,5,6,1,9,18,15,9,3,2,2,10,3,2,5,4,3,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Oceania,Papua New Guinea,Marine areas,Tonnes - live weight,,,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barramundi(=Giant seaperch),Oceania,Vanuatu,Marine areas,Tonnes - live weight,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coho(=Silver) salmon,Americas,Canada,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,1400,2300,2500,2100,2000,2625,1529,757,768,1314,2815,762,462,1509,1815,2775,790,304,66,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coho(=Silver) salmon,Americas,Chile,Marine areas,Tonnes - live weight,212720,204472,205210,148330.88,164045,110804,126771,145128,133072,146334,144120,110000,147348,92267,105377,118042,102376,90244,91714,102373,136815,93419,76324,76954,73408,66988,44037,34524,25150,22165,17954,13298,6930,4040,1769,1144,500,109,94,184,1,64,46,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coho(=Silver) salmon,Americas,United States of America,Marine areas,Tonnes - live weight,,,,,,,,,,,,,,,,,,,,,,,3,2,3,33,31,38,41,67,222,169,613,1616,1528,1151,1531,1136,590,545,540,546,500,480,450,430,400,370,350,320,290,250,219,184,146,106,63,20,13,5,0,0,0,0,0,0,0,0,0,0,0,0
