"","Country","Year","Score"
"77","Norway",2017,35.2625458778965
"78","Norway",2016,35.4697381662153
"79","Norway",2015,35.2895452136794
"80","Norway",2014,35.2624667525454
"81","Norway",2013,35.3520659242521
"82","Norway",2012,35.3351212898251
"83","Norway",2011,35.2657408712815
"84","Norway",2010,35.315368083878
"85","Norway",2009,35.6485010243505
"86","Norway",2008,36.0097430372467
"87","Norway",2007,35.8974944599521
"88","Norway",2006,35.8975257127441
"89","Norway",2005,35.9600939172193
"90","Norway",2004,36.0595734590832
"91","Norway",2003,36.2454643403346
"92","Norway",2002,36.75509193399
"93","Norway",2001,36.5239409008854
"94","Norway",2000,35.9399592221367
"95","Norway",1999,35.9733539075651
"96","Norway",1998,36.1767412503893
"97","Norway",1997,35.8077970481015
"98","Norway",1996,35.5167490984067
"99","Norway",1995,35.2786673664049
"100","Norway",1994,35.4883398125346
"101","Norway",1993,35.2116807014027
"102","Norway",1992,35.2033916670921
"103","Norway",1991,34.990807003212
"104","Norway",1990,34.8649614418861
"105","Norway",1989,34.9501367916768
"106","Norway",1988,36.0110757121848
"107","Norway",1987,36.7847406259659
"108","Norway",1986,35.8315918038132
"109","Norway",1985,36.5830749885217
"110","Norway",1984,36.4662815095191
"111","Norway",1983,37.840936065934
"112","Norway",1982,38.7388842956128
"113","Norway",1981,39.477403906131
"114","Norway",1980,40.9541161394386
"115","Norway",1979,40.1868827679707
"116","Norway",1978,39.7352190734632
"117","Norway",1977,40.9100202853764
"118","Norway",1976,42.7619716210299
"119","Norway",1975,43.7343732600318
"120","Norway",1974,44.9173858392093
"121","Norway",1973,46.4961835062628
"122","Norway",1972,46.3261162875758
"123","Norway",1971,45.9530995314878
"124","Norway",1970,47.0826092170833
"125","Norway",1969,47.6577532360656
"126","Norway",1968,47.9687687945205
"127","Norway",1967,48.1927107691824
"128","Norway",1966,48.270681027451
"129","Norway",1965,48.4070646475247
"130","Norway",1964,48.5227978359401
"131","Norway",1963,48.54617594
"132","Norway",1962,48.54617594
"133","Norway",1961,48.54617594
"134","Norway",1960,48.54617594
"135","Norway",1959,48.54617594
"136","Norway",1958,0
"137","Norway",1957,48.54617594
"138","Norway",1956,0
"139","Norway",1955,0
"140","Norway",1954,0
"141","Norway",1953,0
"142","Norway",1952,0
"143","Norway",1951,0
"144","Norway",1950,0
"145","Chile",2021,47.4923010636031
"146","Chile",2020,46.6444885901473
"147","Chile",2019,47.113682310084
"148","Chile",2018,47.2118693471058
"149","Chile",2017,47.1975732810902
"150","Chile",2016,47.3297486096003
"151","Chile",2015,44.5278613740854
"152","Chile",2014,45.2755481728403
"153","Chile",2013,46.9336396866571
"154","Chile",2012,48.0489615266718
"155","Chile",2011,51.1139612433805
"156","Chile",2010,52.787347388765
"157","Chile",2009,50.1513040053525
"158","Chile",2008,46.8696533285813
"159","Chile",2007,46.9509580746469
"160","Chile",2006,45.7408016524919
"161","Chile",2005,43.7581773384018
"162","Chile",2004,43.9603176482703
"163","Chile",2003,44.8329403946719
"164","Chile",2002,45.4688554207162
"165","Chile",2001,45.4405741690018
"166","Chile",2000,45.1584569351426
"167","Chile",1999,46.2635790135418
"168","Chile",1998,47.8104891044714
"169","Chile",1997,49.4416616140157
"170","Chile",1996,50.3810369459144
"171","Chile",1995,48.9007189458255
"172","Chile",1994,51.781737941597
"173","Chile",1993,51.323143619849
"174","Chile",1992,52.3532816918
"175","Chile",1991,55.2721106604808
"176","Chile",1990,55.2944911700755
"177","Chile",1989,59.4200889277584
"178","Chile",1988,60.8038114452949
"179","Chile",1987,60.5869497021337
"180","Chile",1986,60.4523815759263
"181","Chile",1985,61.5194392601603
"182","Chile",1984,62.851990446422
"183","Chile",1983,61.3070604602214
"184","Chile",1982,63.3294115835603
"185","Chile",1981,64.0176522002895
"186","Chile",1980,62.7708148334746
"187","Chile",1979,63.2347261248087
"188","Chile",1978,63.474866034751
"189","Chile",1977,64.5850460366485
