"","species","common_name","category","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"25","Mizuhopecten yessoensis","Yesso scallop or giant Ezo scallop","Bivalve",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737.62,1346.93,2996.37,5108.61,8144.63,9140.69,8438.17,10813.4,8803.99,5669.82,5251.87,7682.35,9992.58,11064.43,9618.44,14111.37,18188.95,19820.97,23659.09,23446.67,24981.58,24568.31,27066,31405.53,26053.17,29639.35,34538.53,33195.63,29489.98,28131.35,27725.75,30659.33,35364.94,33630.48,28054.91,26521.95,27672.45,32227.13,29407.69,33551.18,28724.28,15567.89,24116.3,22085.57,24465.22,32762.08,28802.93,18764.98,23861.37,20992.27,22270.43,24397.8579,26007.4113,24716.2045
"26","Mugil cephalus","Flathead grey mullet","Finfish",603.2,685.56,791.12,934.38,1015,848.54,761.54,868.84,1070.68,1027.18,1292.82,1496.4,1458.12,1501.62,1926.76,1402.44,1338.06,1680.26,1683.74,1960.4,2230.1,2071.18,2180.8,1960.98,1904.14,2044.5,2110.62,2191.82,2684.82,2716.14,2726.58,2787.48,3053.12,2956.84,3062.98,3036.88,2915.66,3199.28,3165.64,2913.92,3094.3,3046.16,2996.28,3810.02,4116.26,5225.8,5226.38,5559.3,4981.04,4827.34,4410.32,4413.8,3467.82,4481.08,3340.8,3458.54,3950.96,3966.04,3154.678,3695.528,4214.4076,3912.2798,3534.0444,4110.431,4536.4758,4029.0918,3673.4996,3923.816,3721.802,3517.2128,3410.2608,6832.4928,3463.9862,2930.508
"27","Mylopharyngodon piceus","Black carp","Finfish",993,1764,2047.5,2740,4184.5,4803,5102,8502.5,8337.5,8977,7521.5,5256.5,4740,5400,6025,7744.5,7900.5,7529.5,7313,8231,8761.5,9333,9350.5,9917,10696.5,11330.5,11150.5,11565.5,11475,12200,13550,15350,18100,21500,18100,23800,30550,52300,58550,19522,18926,18045,26143.5,33294,52503.5,52076,60174,64602.5,68963.5,76768.5,74493.5,82743.5,97512,116798.5,128025.5,140371.5,153505.5,165944.5,180166,190848.975,204752.02,221164.77,225451,238934.06,252857.71,270580.24,340008.505,342368.99,345767.85,340225.54,347770.56,358782.88,374461.92,400281.655
"28","Mytilus chilensis","Chilean mussel","Bivalve",2.206,2.206,2.206,2.206,2.206,2.206,4.412,4.412,4.412,4.412,6.618,6.618,6.618,8.824,11.03,11.03,13.236,15.442,19.854,22.06,25.5896,29.781,34.6342,40.3698,46.9878,44.12,63.5328,44.12,44.12,55.15,66.18,128.3892,306.4134,68.1654,215.085,216.8498,354.2836,311.046,491.2762,507.1594,463.9218,622.5332,739.4512,639.74,832.1032,1234.257,1337.7184,1904.881,2627.5666,3574.3818,5179.0262,7643.3488,9220.4182,12752.6654,17087.8966,19354.5616,28005.6112,33847.3198,41266.3184,36829.6112,48867.7532,63661.4098,53856.6222,53350.1246,52522.2128,46040.7642,66322.9488,74749.4276,80650.292296,83628.7982,88040.7982,93599.2564,94214.7304,85811.6352
"29","Mytilus edulis","Blue mussel","Bivalve",10803.4438,13140.039,14002.1438,15459.4274,16365.6522,15221.4,13877.5048,17476.1526,20346.8204,21872.2694,24253.867,25982.9298,27553.3812,27207.9216,32289.8838,33027.7908,29557.9734,28041.1278,35900.2234,33174.2692,29257.5162,30398.68,36410.03,33817.98,32390.0362,40220.6744,30306.2486,37890.6972,39975.8084,35502.9228,35361.5182,44311.4808,48978.0532,47605.7006,41377.7214,44340.1588,41041.9682,44289.4208,38126.9598,39876.0972,42435.4984,33336.4102,38388.5914,37523.3982,40963.8758,38609.412,48417.9498,46766.5382,52996.5028,52106.4921,47083.8713,41591.7034,41173.73258,47988.221,51310.457,49761.845,39941.7257,45155.2758,42014.7039,44026.0244,44101.6902,42076.275566,40623.02674,38266.504742,37354.370068,34816.775178,32002.153014,29195.110666,28673.316662,31542.599094,28505.342998,31564.862046,31034.28375,29104.046986
"30","Mytilus galloprovincialis","Mediterranean mussel","Bivalve",485.32,529.44,198.54,198.54,220.6,286.78,269.132,388.256,213.982,844.898,1067.704,1403.016,1449.342,1958.928,1919.22,2142.026,1087.558,2989.13,1603.762,1806.714,3519.4524,6198.86,5488.7486,5696.5538,6712.4168,8133.7426,9341.9688,9714.3416,10172.969,10907.3464,11657.8276,12408.0882,12788.8438,13671.2438,14590.7046,16080.637,16632.3576,16635.2254,21074.1386,22302.2188,24135.1842,25659.9714,23533.1668,25285.3926,23501.621,25081.9994,23663.3208,24214.8208,26748.1912,28325.4812,28240.109,31279.977,28734.6942,32531.4408,19807.674,24093.932,25195.6084,23071.451,23923.933228,26476.006096,22766.588418,24994.736658,22306.891108,22856.019658,21885.756884,21980.62812,22637.319024,21656.185082,21502.325406,21163.362476,18865.561992,20271.62889,19517.620296,19428.917036
"31","Oncorhynchus kisutch","Coho salmon","Finfish",0,0,0,0,0,0,0,0,0,0,0,0,2.1,5.46,8.4,26.46,44.52,61.32,77.28,91.98,105,121.8,134.4,147,159.6,176.4,195.3,201.6,238.98,407.82,1075.2,733.32,1226.82,1473.78,2693.04,3931.62,4374.72,6953.52,10841.04,12722.64,16448.88,18641.7,20375.46,20644.68,24654,24511.2,32002.74,35644.14,37086.84,37579.5,45622.92,63414.12,47394.9,43010.1,41975.64,48393.66,54712.14,49998.48,44152.92,72546.6,57754.2,67072.446,72107.1792,65852.64,72135.546,59201.73,52158.96,75552.2418,69960.9834,92969.0664,93279.4968,97306.4232,110092.08,125341.44
"32","Oncorhynchus mykiss","Rainbow trout","Finfish",2552,2811.84,3139.54,3484.06,4014.76,5270.46,6438.58,6586.48,7559.72,9263.76,10269.48,11975.26,13171.22,14917.02,18166.18,23009.18,25353.54,28594.58,34187.52,34967.62,37555.58,42660.74,47597.7,50675.76,55967.1,59524.82,60636.1,63801.16,69005.5,72531.9,84183.52,91999.02,99931.68,105411.52,108337.62,114448.5,119955.02,132163.44,145254.62,150462.44,161238.26,166748.26,177429.54,185539.68,199423.72,220126.82,235126.2,265680.02,275631.08,265918.98,287967.1,321715.56,318936.2,323312.3,328697.02,326354.98,354042.0456,388153.168,393069.1378,437974.936,438394.9604,461911.4548,514472.0756,476603.7364,465624.0348,439867.505,486235.3904,487070.7992,500445.46,523305.812,580711.9732,586041.8542,628879.7668,641042.3842
"33","Oreochromis niloticus","Nile tilapia","Finfish",810.9,1081.2,1340.79,1689.12,2294.49,2621.4,2744.31,4024.41,4097.85,4400.28,3945.36,3325.71,3213,3666.39,4171.29,4676.19,4823.07,4823.58,5026.05,5640.09,6149.58,6937.02,7610.73,8560.86,9395.22,10325.46,12719.4,14511.54,16764.21,18003,21092.07,23344.23,26069.16,30821.34,33996.6,45894.39,56940.99,63450.63,67412.82,103630.98,119239.02,131537.67,168932.91,195005.13,219028.17,273451.29,328787.82,370606.8,381500.4,434686.77,511585.59,545434.29,598273.86,681852.15,779016.024,880639.95,890067.2949,998534.712,1114633.305,1209292.059,1362241.3089,1498117.7784,1714487.5683,1794482.8584,1935356.0784,2084884.1463,2146201.2372,2288564.2692,2328648.0762,2437623.8001,2344804.2693,2469016.9113,2557556.211,2649916.9101
"34","Pangasianodon hypophthalmus","Striped catfish","Finfish",1638.5,1709.26,1782.34,1859.48,1938.94,2022.46,2109.46,2199.94,2295.06,2393.66,2496.32,2603.62,2715.56,2832.72,2954.52,3081.54,3213.78,3351.82,3496.24,3646.46,3828,3944,4118,4292,5860.9,3859.9,4817.48,4183.54,6270.38,4394.66,5727.5,8320.68,6637.52,5755.92,4740.92,7995.88,7292.92,6856.76,11804.74,7852.62,7737.2,8420.44,8226.14,6954.2,7649.62,6960,5974,27178.8,41296,57048.22,65671.08,74610.04,89051.46,110655.3,169972.48,238484.4,321209.8,511646.42,977013.48,901552,1014629.0204,1040284.955,1151527.94,1140917.3446,1181365.982,1208239.0756,1271257.9142,1331731.3474,1369223.0926,1559015.6806,1496680.4126,1490734.937,1653219.298,1711812.1972
